year,state,month,number,date
2005,Acre,Oct,547,1/1/2005
2006,Acre,Oct,316,1/1/2006
2007,Acre,Oct,203,1/1/2007
2008,Acre,Oct,652,1/1/2008
2009,Acre,Oct,565,1/1/2009
2010,Acre,Oct,292,1/1/2010
2011,Acre,Oct,97,1/1/2011
2012,Acre,Oct,348,1/1/2012
2013,Acre,Oct,258,1/1/2013
2014,Acre,Oct,406,1/1/2014
2015,Acre,Oct,905,1/1/2015
2016,Acre,Oct,509,1/1/2016
2017,Acre,Oct,1.508,1/1/2017
1998,Acre,Nov,0,1/1/1998
1999,Acre,Nov,0,1/1/1999
2000,Acre,Nov,0,1/1/2000
2001,Acre,Nov,1,1/1/2001
2002,Acre,Nov,86,1/1/2002
2003,Acre,Nov,15,1/1/2003
2004,Acre,Nov,10,1/1/2004
2005,Acre,Nov,14,1/1/2005
2006,Acre,Nov,18,1/1/2006
2007,Acre,Nov,7,1/1/2007
2008,Acre,Nov,4,1/1/2008
2009,Acre,Nov,33,1/1/2009
2010,Acre,Nov,39,1/1/2010
2011,Acre,Nov,74,1/1/2011
2012,Acre,Nov,13,1/1/2012
2013,Acre,Nov,79,1/1/2013
2014,Acre,Nov,56,1/1/2014
2015,Acre,Nov,115,1/1/2015
2016,Acre,Nov,46,1/1/2016
2017,Acre,Nov,98,1/1/2017
1998,Acre,Dec,7,1/1/1998
1999,Acre,Dec,0,1/1/1999
2000,Acre,Dec,0,1/1/2000
2001,Acre,Dec,0,1/1/2001
2002,Acre,Dec,1,1/1/2002
2003,Acre,Dec,1,1/1/2003
2004,Acre,Dec,7,1/1/2004
2005,Acre,Dec,2,1/1/2005
2006,Acre,Dec,0,1/1/2006
2007,Acre,Dec,0,1/1/2007
2008,Acre,Dec,0,1/1/2008
2009,Acre,Dec,1,1/1/2009
2010,Acre,Dec,0,1/1/2010
2011,Acre,Dec,4,1/1/2011
2012,Acre,Dec,1,1/1/2012
2013,Acre,Dec,3,1/1/2013
2014,Acre,Dec,6,1/1/2014
2015,Acre,Dec,8,1/1/2015
2016,Acre,Dec,6,1/1/2016
1998,Alagoas,Jan,0,1/1/1998
1999,Alagoas,Jan,58,1/1/1999
2000,Alagoas,Jan,11,1/1/2000
2001,Alagoas,Jan,5,1/1/2001
2002,Alagoas,Jan,12,1/1/2002
2003,Alagoas,Jan,150,1/1/2003
2004,Alagoas,Jan,9,1/1/2004
2005,Alagoas,Jan,83,1/1/2005
2006,Alagoas,Jan,29,1/1/2006
2007,Alagoas,Jan,33,1/1/2007
2008,Alagoas,Jan,55,1/1/2008
2009,Alagoas,Jan,104,1/1/2009
2010,Alagoas,Jan,23,1/1/2010
2011,Alagoas,Jan,41,1/1/2011
2012,Alagoas,Jan,36,1/1/2012
2013,Alagoas,Jan,49,1/1/2013
2014,Alagoas,Jan,54,1/1/2014
2015,Alagoas,Jan,81,1/1/2015
2016,Alagoas,Jan,24,1/1/2016
2017,Alagoas,Jan,38,1/1/2017
2017,Alagoas,Jan,38,1/1/2017
1998,Alagoas,Feb,0,1/1/1998
1999,Alagoas,Feb,20,1/1/1999
2000,Alagoas,Feb,16,1/1/2000
2001,Alagoas,Feb,4,1/1/2001
2002,Alagoas,Feb,15,1/1/2002
2003,Alagoas,Feb,33,1/1/2003
2004,Alagoas,Feb,7,1/1/2004
2005,Alagoas,Feb,31,1/1/2005
2006,Alagoas,Feb,14,1/1/2006
2007,Alagoas,Feb,28,1/1/2007
2008,Alagoas,Feb,74,1/1/2008
2009,Alagoas,Feb,32,1/1/2009
2010,Alagoas,Feb,26,1/1/2010
2011,Alagoas,Feb,33,1/1/2011
2012,Alagoas,Feb,41,1/1/2012
2013,Alagoas,Feb,19,1/1/2013
2014,Alagoas,Feb,29,1/1/2014
2015,Alagoas,Feb,46,1/1/2015
2016,Alagoas,Feb,14,1/1/2016
2017,Alagoas,Feb,21,1/1/2017
1998,Alagoas,March,0,1/1/1998
1999,Alagoas,March,52,1/1/1999
2000,Alagoas,March,32,1/1/2000
2001,Alagoas,March,0,1/1/2001
2002,Alagoas,March,27,1/1/2002
2003,Alagoas,March,15,1/1/2003
2004,Alagoas,March,16,1/1/2004
2005,Alagoas,March,35,1/1/2005
2006,Alagoas,March,37,1/1/2006
2007,Alagoas,March,7,1/1/2007
2008,Alagoas,March,31,1/1/2008
2009,Alagoas,March,31,1/1/2009
2010,Alagoas,March,70,1/1/2010
2011,Alagoas,March,34,1/1/2011
2012,Alagoas,March,44,1/1/2012
2013,Alagoas,March,31,1/1/2013
2014,Alagoas,March,28,1/1/2014
2015,Alagoas,March,32,1/1/2015
2016,Alagoas,March,9,1/1/2016
2017,Alagoas,March,23,1/1/2017
1998,Alagoas,April,0,1/1/1998
1999,Alagoas,April,4,1/1/1999
2000,Alagoas,April,20,1/1/2000
2001,Alagoas,April,0,1/1/2001
2002,Alagoas,April,6,1/1/2002
2003,Alagoas,April,20,1/1/2003
2004,Alagoas,April,6,1/1/2004
2005,Alagoas,April,1,1/1/2005
2006,Alagoas,April,2,1/1/2006
2007,Alagoas,April,1,1/1/2007
2008,Alagoas,April,18,1/1/2008
2009,Alagoas,April,5,1/1/2009
2010,Alagoas,April,3,1/1/2010
2011,Alagoas,April,17,1/1/2011
2012,Alagoas,April,18,1/1/2012
2013,Alagoas,April,25,1/1/2013
2014,Alagoas,April,16,1/1/2014
2015,Alagoas,April,63,1/1/2015
2016,Alagoas,April,13,1/1/2016
2017,Alagoas,April,7,1/1/2017
1998,Alagoas,May,0,1/1/1998
1999,Alagoas,May,1,1/1/1999
2000,Alagoas,May,1,1/1/2000
2001,Alagoas,May,2,1/1/2001
2002,Alagoas,May,1,1/1/2002
2003,Alagoas,May,1,1/1/2003
2004,Alagoas,May,3,1/1/2004
2005,Alagoas,May,0,1/1/2005
2006,Alagoas,May,0,1/1/2006
2007,Alagoas,May,0,1/1/2007
2008,Alagoas,May,0,1/1/2008
2009,Alagoas,May,0,1/1/2009
2010,Alagoas,May,0,1/1/2010
2011,Alagoas,May,0,1/1/2011
2012,Alagoas,May,21,1/1/2012
2013,Alagoas,May,2,1/1/2013
2014,Alagoas,May,1,1/1/2014
2015,Alagoas,May,18,1/1/2015
2016,Alagoas,May,4,1/1/2016
2017,Alagoas,May,1,1/1/2017
1998,Alagoas,June,0,1/1/1998
1999,Alagoas,June,0,1/1/1999
2000,Alagoas,June,0,1/1/2000
2001,Alagoas,June,2,1/1/2001
2002,Alagoas,June,0,1/1/2002
2003,Alagoas,June,0,1/1/2003
2004,Alagoas,June,0,1/1/2004
2005,Alagoas,June,0,1/1/2005
2006,Alagoas,June,0,1/1/2006
2007,Alagoas,June,0,1/1/2007
2008,Alagoas,June,0,1/1/2008
2009,Alagoas,June,0,1/1/2009
2010,Alagoas,June,0,1/1/2010
2011,Alagoas,June,2,1/1/2011
2012,Alagoas,June,4,1/1/2012
2013,Alagoas,June,1,1/1/2013
2014,Alagoas,June,2,1/1/2014
2015,Alagoas,June,2,1/1/2015
2016,Alagoas,June,5,1/1/2016
2017,Alagoas,June,2,1/1/2017
1998,Alagoas,July,0,1/1/1998
1999,Alagoas,July,0,1/1/1999
2000,Alagoas,July,0,1/1/2000
2001,Alagoas,July,0,1/1/2001
2002,Alagoas,July,5,1/1/2002
2003,Alagoas,July,0,1/1/2003
2004,Alagoas,July,0,1/1/2004
2005,Alagoas,July,0,1/1/2005
2006,Alagoas,July,0,1/1/2006
2007,Alagoas,July,0,1/1/2007
2008,Alagoas,July,0,1/1/2008
2009,Alagoas,July,0,1/1/2009
2010,Alagoas,July,2,1/1/2010
2011,Alagoas,July,0,1/1/2011
2012,Alagoas,July,0,1/1/2012
2013,Alagoas,July,0,1/1/2013
2014,Alagoas,July,1,1/1/2014
2015,Alagoas,July,0,1/1/2015
2016,Alagoas,July,3,1/1/2016
2017,Alagoas,July,0,1/1/2017
1998,Alagoas,Aug,1,1/1/1998
1999,Alagoas,Aug,3,1/1/1999
2000,Alagoas,Aug,4,1/1/2000
2001,Alagoas,Aug,1,1/1/2001
2002,Alagoas,Aug,3,1/1/2002
2003,Alagoas,Aug,2,1/1/2003
2004,Alagoas,Aug,2,1/1/2004
2005,Alagoas,Aug,2,1/1/2005
2006,Alagoas,Aug,1,1/1/2006
2007,Alagoas,Aug,3,1/1/2007
2008,Alagoas,Aug,1,1/1/2008
2009,Alagoas,Aug,0,1/1/2009
2010,Alagoas,Aug,1,1/1/2010
2011,Alagoas,Aug,4,1/1/2011
2012,Alagoas,Aug,0,1/1/2012
2013,Alagoas,Aug,0,1/1/2013
2014,Alagoas,Aug,3,1/1/2014
2015,Alagoas,Aug,3,1/1/2015
2016,Alagoas,Aug,5,1/1/2016
2017,Alagoas,Aug,1,1/1/2017
1998,Alagoas,Sept,14,1/1/1998
1999,Alagoas,Sept,3,1/1/1999
2000,Alagoas,Sept,22,1/1/2000
2001,Alagoas,Sept,5,1/1/2001
2002,Alagoas,Sept,14,1/1/2002
2003,Alagoas,Sept,8,1/1/2003
2004,Alagoas,Sept,5,1/1/2004
2005,Alagoas,Sept,7,1/1/2005
2006,Alagoas,Sept,4,1/1/2006
2007,Alagoas,Sept,2,1/1/2007
2008,Alagoas,Sept,9,1/1/2008
2009,Alagoas,Sept,13,1/1/2009
2010,Alagoas,Sept,5,1/1/2010
2011,Alagoas,Sept,5,1/1/2011
2012,Alagoas,Sept,6,1/1/2012
2013,Alagoas,Sept,4,1/1/2013
2014,Alagoas,Sept,11,1/1/2014
2015,Alagoas,Sept,7,1/1/2015
2016,Alagoas,Sept,18,1/1/2016
2017,Alagoas,Sept,4,1/1/2017
1998,Alagoas,Oct,20,1/1/1998
1999,Alagoas,Oct,4,1/1/1999
2000,Alagoas,Oct,13,1/1/2000
2001,Alagoas,Oct,15,1/1/2001
2002,Alagoas,Oct,30,1/1/2002
2003,Alagoas,Oct,10,1/1/2003
2004,Alagoas,Oct,12,1/1/2004
2005,Alagoas,Oct,17,1/1/2005
2006,Alagoas,Oct,32,1/1/2006
2007,Alagoas,Oct,6,1/1/2007
2008,Alagoas,Oct,18,1/1/2008
2009,Alagoas,Oct,30,1/1/2009
2010,Alagoas,Oct,16,1/1/2010
2011,Alagoas,Oct,23,1/1/2011
2012,Alagoas,Oct,28,1/1/2012
2013,Alagoas,Oct,25,1/1/2013
2014,Alagoas,Oct,7,1/1/2014
2015,Alagoas,Oct,40,1/1/2015
2016,Alagoas,Oct,74,1/1/2016
2017,Alagoas,Oct,14,1/1/2017
1998,Alagoas,Nov,19,1/1/1998
1999,Alagoas,Nov,15,1/1/1999
2000,Alagoas,Nov,2,1/1/2000
2001,Alagoas,Nov,22,1/1/2001
2002,Alagoas,Nov,50,1/1/2002
2003,Alagoas,Nov,17,1/1/2003
2004,Alagoas,Nov,28,1/1/2004
2005,Alagoas,Nov,25,1/1/2005
2006,Alagoas,Nov,12,1/1/2006
2007,Alagoas,Nov,15,1/1/2007
2008,Alagoas,Nov,37,1/1/2008
2009,Alagoas,Nov,55,1/1/2009
2010,Alagoas,Nov,31,1/1/2010
2011,Alagoas,Nov,23,1/1/2011
2012,Alagoas,Nov,95,1/1/2012
2013,Alagoas,Nov,10,1/1/2013
2014,Alagoas,Nov,14,1/1/2014
2015,Alagoas,Nov,162,1/1/2015
2016,Alagoas,Nov,76,1/1/2016
2017,Alagoas,Nov,10,1/1/2017
1998,Alagoas,Dec,32,1/1/1998
1999,Alagoas,Dec,12,1/1/1999
2000,Alagoas,Dec,2,1/1/2000
2001,Alagoas,Dec,30,1/1/2001
2002,Alagoas,Dec,95,1/1/2002
2003,Alagoas,Dec,43,1/1/2003
2004,Alagoas,Dec,71,1/1/2004
2005,Alagoas,Dec,16,1/1/2005
2006,Alagoas,Dec,30,1/1/2006
2007,Alagoas,Dec,33,1/1/2007
2008,Alagoas,Dec,34,1/1/2008
2009,Alagoas,Dec,55,1/1/2009
2010,Alagoas,Dec,45,1/1/2010
2011,Alagoas,Dec,50,1/1/2011
2012,Alagoas,Dec,59,1/1/2012
2013,Alagoas,Dec,42,1/1/2013
2014,Alagoas,Dec,24,1/1/2014
2015,Alagoas,Dec,136,1/1/2015
2016,Alagoas,Dec,155,1/1/2016
1998,Amapa,Jan,0,1/1/1998
1999,Amapa,Jan,0,1/1/1999
2000,Amapa,Jan,2,1/1/2000
2001,Amapa,Jan,0,1/1/2001
2002,Amapa,Jan,7,1/1/2002
2003,Amapa,Jan,31,1/1/2003
2004,Amapa,Jan,38,1/1/2004
2005,Amapa,Jan,109,1/1/2005
2006,Amapa,Jan,6,1/1/2006
2007,Amapa,Jan,0,1/1/2007
2008,Amapa,Jan,2,1/1/2008
2009,Amapa,Jan,4,1/1/2009
2010,Amapa,Jan,2,1/1/2010
2011,Amapa,Jan,0,1/1/2011
2012,Amapa,Jan,30,1/1/2012
2013,Amapa,Jan,3,1/1/2013
2014,Amapa,Jan,10,1/1/2014
2015,Amapa,Jan,14,1/1/2015
2016,Amapa,Jan,19,1/1/2016
2017,Amapa,Jan,2,1/1/2017
1998,Amapa,Feb,0,1/1/1998
1999,Amapa,Feb,1,1/1/1999
2000,Amapa,Feb,0,1/1/2000
2001,Amapa,Feb,0,1/1/2001
2002,Amapa,Feb,2,1/1/2002
2003,Amapa,Feb,0,1/1/2003
2004,Amapa,Feb,2,1/1/2004
2005,Amapa,Feb,1,1/1/2005
2006,Amapa,Feb,2,1/1/2006
2007,Amapa,Feb,0,1/1/2007
2008,Amapa,Feb,0,1/1/2008
2009,Amapa,Feb,0,1/1/2009
2010,Amapa,Feb,0,1/1/2010
2011,Amapa,Feb,3,1/1/2011
2012,Amapa,Feb,5,1/1/2012
2013,Amapa,Feb,0,1/1/2013
2014,Amapa,Feb,2,1/1/2014
2015,Amapa,Feb,1,1/1/2015
2016,Amapa,Feb,1,1/1/2016
2017,Amapa,Feb,0,1/1/2017
1998,Amapa,March,0,1/1/1998
1999,Amapa,March,2,1/1/1999
2000,Amapa,March,0,1/1/2000
2001,Amapa,March,0,1/1/2001
2002,Amapa,March,0,1/1/2002
2003,Amapa,March,1,1/1/2003
2004,Amapa,March,0,1/1/2004
2005,Amapa,March,0,1/1/2005
2006,Amapa,March,0,1/1/2006
2007,Amapa,March,0,1/1/2007
2008,Amapa,March,1,1/1/2008
2009,Amapa,March,1,1/1/2009
2010,Amapa,March,2,1/1/2010
2011,Amapa,March,0,1/1/2011
2012,Amapa,March,1,1/1/2012
2013,Amapa,March,0,1/1/2013
2014,Amapa,March,1,1/1/2014
2015,Amapa,March,2,1/1/2015
2016,Amapa,March,5,1/1/2016
2017,Amapa,March,0,1/1/2017
1998,Amapa,April,0,1/1/1998
1999,Amapa,April,0,1/1/1999
2000,Amapa,April,0,1/1/2000
2001,Amapa,April,0,1/1/2001
2002,Amapa,April,0,1/1/2002
2003,Amapa,April,2,1/1/2003
2004,Amapa,April,0,1/1/2004
2005,Amapa,April,0,1/1/2005
2006,Amapa,April,0,1/1/2006
2007,Amapa,April,0,1/1/2007
2008,Amapa,April,2,1/1/2008
2009,Amapa,April,0,1/1/2009
2010,Amapa,April,2,1/1/2010
2011,Amapa,April,0,1/1/2011
2012,Amapa,April,2,1/1/2012
2013,Amapa,April,2,1/1/2013
2014,Amapa,April,0,1/1/2014
2015,Amapa,April,0,1/1/2015
2016,Amapa,April,0,1/1/2016
2017,Amapa,April,3,1/1/2017
1998,Amapa,May,0,1/1/1998
1999,Amapa,May,0,1/1/1999
2000,Amapa,May,0,1/1/2000
2001,Amapa,May,0,1/1/2001
2002,Amapa,May,3,1/1/2002
2003,Amapa,May,0,1/1/2003
2004,Amapa,May,0,1/1/2004
2005,Amapa,May,0,1/1/2005
2006,Amapa,May,0,1/1/2006
2007,Amapa,May,0,1/1/2007
2008,Amapa,May,0,1/1/2008
2009,Amapa,May,2,1/1/2009
2010,Amapa,May,2,1/1/2010
2011,Amapa,May,2,1/1/2011
2012,Amapa,May,2,1/1/2012
2013,Amapa,May,0,1/1/2013
2014,Amapa,May,0,1/1/2014
2015,Amapa,May,0,1/1/2015
2016,Amapa,May,1,1/1/2016
2017,Amapa,May,1,1/1/2017
1998,Amapa,June,0,1/1/1998
1999,Amapa,June,2,1/1/1999
2000,Amapa,June,0,1/1/2000
2001,Amapa,June,0,1/1/2001
2002,Amapa,June,0,1/1/2002
2003,Amapa,June,0,1/1/2003
2004,Amapa,June,5,1/1/2004
2005,Amapa,June,2,1/1/2005
2006,Amapa,June,0,1/1/2006
2007,Amapa,June,0,1/1/2007
2008,Amapa,June,0,1/1/2008
2009,Amapa,June,1,1/1/2009
2010,Amapa,June,0,1/1/2010
2011,Amapa,June,0,1/1/2011
2012,Amapa,June,7,1/1/2012
2013,Amapa,June,1,1/1/2013
2014,Amapa,June,0,1/1/2014
2015,Amapa,June,3,1/1/2015
2016,Amapa,June,2,1/1/2016
2017,Amapa,June,2,1/1/2017
1998,Amapa,July,0,1/1/1998
1999,Amapa,July,0,1/1/1999
2000,Amapa,July,0,1/1/2000
2001,Amapa,July,1,1/1/2001
2002,Amapa,July,1,1/1/2002
2003,Amapa,July,0,1/1/2003
2004,Amapa,July,2,1/1/2004
2005,Amapa,July,0,1/1/2005
2006,Amapa,July,0,1/1/2006
2007,Amapa,July,0,1/1/2007
2008,Amapa,July,0,1/1/2008
2009,Amapa,July,4,1/1/2009
2010,Amapa,July,2,1/1/2010
2011,Amapa,July,5,1/1/2011
2012,Amapa,July,3,1/1/2012
2013,Amapa,July,1,1/1/2013
2014,Amapa,July,4,1/1/2014
2015,Amapa,July,5,1/1/2015
2016,Amapa,July,1,1/1/2016
2017,Amapa,July,3,1/1/2017
1998,Amapa,Aug,1,1/1/1998
1999,Amapa,Aug,0,1/1/1999
2000,Amapa,Aug,3,1/1/2000
2001,Amapa,Aug,12,1/1/2001
2002,Amapa,Aug,18,1/1/2002
2003,Amapa,Aug,14,1/1/2003
2004,Amapa,Aug,9,1/1/2004
2005,Amapa,Aug,4,1/1/2005
2006,Amapa,Aug,11,1/1/2006
2007,Amapa,Aug,5,1/1/2007
2008,Amapa,Aug,4,1/1/2008
2009,Amapa,Aug,20,1/1/2009
2010,Amapa,Aug,1,1/1/2010
2011,Amapa,Aug,16,1/1/2011
2012,Amapa,Aug,19,1/1/2012
2013,Amapa,Aug,9,1/1/2013
2014,Amapa,Aug,18,1/1/2014
2015,Amapa,Aug,40,1/1/2015
2016,Amapa,Aug,37,1/1/2016
2017,Amapa,Aug,33,1/1/2017
1998,Amapa,Sept,20,1/1/1998
1999,Amapa,Sept,4,1/1/1999
2000,Amapa,Sept,19,1/1/2000
2001,Amapa,Sept,95,1/1/2001
2002,Amapa,Sept,73,1/1/2002
2003,Amapa,Sept,88,1/1/2003
2004,Amapa,Sept,67,1/1/2004
2005,Amapa,Sept,97,1/1/2005
2006,Amapa,Sept,112,1/1/2006
2007,Amapa,Sept,61,1/1/2007
2008,Amapa,Sept,83,1/1/2008
2009,Amapa,Sept,188,1/1/2009
2010,Amapa,Sept,63,1/1/2010
2011,Amapa,Sept,128,1/1/2011
2012,Amapa,Sept,168,1/1/2012
2013,Amapa,Sept,85,1/1/2013
2014,Amapa,Sept,137,1/1/2014
2015,Amapa,Sept,192,1/1/2015
2016,Amapa,Sept,142,1/1/2016
2017,Amapa,Sept,95,1/1/2017
1998,Amapa,Oct,42,1/1/1998
1999,Amapa,Oct,25,1/1/1999
2000,Amapa,Oct,42,1/1/2000
2001,Amapa,Oct,194,1/1/2001
2002,Amapa,Oct,557,1/1/2002
2003,Amapa,Oct,355,1/1/2003
2004,Amapa,Oct,412,1/1/2004
2005,Amapa,Oct,335,1/1/2005
2006,Amapa,Oct,405,1/1/2006
2007,Amapa,Oct,162,1/1/2007
2008,Amapa,Oct,395,1/1/2008
2009,Amapa,Oct,765,1/1/2009
2010,Amapa,Oct,265,1/1/2010
2011,Amapa,Oct,304,1/1/2011
2012,Amapa,Oct,475,1/1/2012
2013,Amapa,Oct,385,1/1/2013
2014,Amapa,Oct,480,1/1/2014
2015,Amapa,Oct,827,1/1/2015
2016,Amapa,Oct,793,1/1/2016
2017,Amapa,Oct,468,1/1/2017
1998,Amapa,Nov,131,1/1/1998
1999,Amapa,Nov,26,1/1/1999
2000,Amapa,Nov,157,1/1/2000
2001,Amapa,Nov,406,1/1/2001
2002,Amapa,Nov,1.096,1/1/2002
2003,Amapa,Nov,750,1/1/2003
2004,Amapa,Nov,949,1/1/2004
2005,Amapa,Nov,685,1/1/2005
2006,Amapa,Nov,207,1/1/2006
2007,Amapa,Nov,198,1/1/2007
2008,Amapa,Nov,266,1/1/2008
2009,Amapa,Nov,1.019,1/1/2009
